step_id;task;answer;score
0;Привет, студент. Волонтерский Центр РЭУ им. Г. В. Плеханова запускает ДоброКвест! Пройдя его, ты сможешь не только узнать всю необходимую информацию о добровольчестве и опробовать себя в роли волонтера, но и приятно провести время и найти друзей.!?!На протяжении всего квеста за выполнение заданий ты будешь получать баллы, за которые ты сможешь купить классную сувенирную продукцию нашего Волонтерского Центра.!?!Перед тем как начать, я хочу пригласить тебя в беседу, посвященную ДоброКвесту! Вот ссылка: … Некоторые задания ты просто не сможешь выполнить если не состоишь в этой беседе, к тому же, если у тебя появятся проблемы с ботом или определённые вопросы, тим-лидеры в этой беседе всегда придут на помощь!;Шалом;1
1;Что ж, доброквест можно считать открытым! Ура!!?!Для начала давай немного поднимем актив в нашей группе. В нашей ленте много интересного, информация по предстоящим мероприятиям, новости, фотографии с мероприятий ну и конечно же, в нашей группе ты можешь поздравить участников Тим-лидерской программы, частью которой ты возможно станешь в будущем! Было бы круто, если бы ты поставил лайк на любые десять постов в нашей группе!!?!В ответ жду скрины с подтверждением выполненного задания);;1
2;Один из самых важных шагов каждого волонтера – регистрация на Добро.ру! Ведь куда без этого, там ты сможешь узнать информацию об огромном количестве мероприятий вне РЭУ и вести учет мероприятий.!?!Скидывай скрин личного кабинета и ты получишь заслуженный балл.;;1
3;Согласись, гораздо интереснее делать что-то с другом? ДоброКвест не исключение. Скорее приглашай друзей, чтобы начать выполнять задания вместе! За данное задание мы даём двойные баллы.!?!Жду от тебя скрин-подтверждение выполнения и мы пойдём дальше.;;2
4;Волонтерский центр является альма-матер для всех наших волонтеров. Это то место, куда ты всегда можешь прийти за приятной и теплой атмосферой. Именно поэтому мы хотим, чтобы ты тоже там побывал, и включили эту станцию в наш квест. Все, что тебе нужно сделать, это прийти в наш волонтерский центр и сделать фото!;;1
5;Еще больше интересной и полезной информации ты сможешь найти в телеграмм-канале. Обязательно подпишись, чтобы быть в курсе всех новостей!!?!Для продолжения скинь скрин, подтверждающий факт подписки);;1
6;!Мы немного поразвлекались, но теперь самое время заняться чем-то более серьезным. На сайте добро.ру есть онлайн-курс, который поможет тебе начать разбираться в добровольчестве, узнаете как устроена работа волонтера изнутри, сможете выбрать интересное вам направление добровольчества и многое другое!!?!Ссылка на курс: https://edu.dobro.ru/courses/28/!?!А если ты уже погружен в волонтерскую деятельность и ничего нового из этого курса не узнаешь, у нас есть предложение и для тебя. Курс “Событийное волонтерство для тим-лидеров”. В данном курсе ты сможешь поподробнее узнать про должность тим-лидера, познакомишься с его обязанностями и компетенциями, а также, узнаешь про основы построения взаимоотношений с волонтерами.!?!Ссылка на курс: https://edu.dobro.ru/courses/71/;;2
7;Давай немного отвлечемся. Что учит нас добрым делам? Книги, истории из жизни, сериалы, а так же….фильмы! (Дальше написать про фильм);;1
8;!В мире волонтерства существует море возможностей! Главное - не бояться задавать вопросы и находить информацию. Познакомься с понятием “ЛЮБОЕ” - уверен, тебе будет полезно. В качестве подтверждения пришли скрин с найденными материалами по теме.;;1
9;!Самая интересная часть – ПРАКТИКА! Начнем с простого, сдай немного крышечек или свою старую обувь в …. (за обувь получишь двойные баллы))!?!Для завершения задания отправь фото подтверждение.;;1
10;Ты соскучился по практическим заданиям? У меня есть кое-что для тебя) Любишь животных? Надеюсь что да, потому что задание связанно именно с этим, а именно: посети выезд в приют который будет… или соверши пожертвование в фонд … или можешь сдать корм для приютов в волонтерском центре!;;1
11;Я чувствую что ты созрел(а) для этого… Время поучаствовать в первом мероприятии! Ты можешь выбрать его из нашей группы вконтакте или на сайте добро.ру.!?!Как подтверждение выполнения отправляй скрин поданной заявки!;;1
12;Совместные подсказки что то надо сфоткать, эффект домино!?!Расскажи о себе в чате, найти человека с похожими интересами и договоритесь о встрече, пришли фотку с вашей прогулки и ссылку на этого человека в качестве подтверждения.;;1

